Features,Description
loan_amount,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
term,The number of payments on the loan. Values are in months and can be either 36 or 60.
interest_rate,Interest Rate on the loan
installment,The monthly payment owed by the borrower if the loan originates.
grade,LC assigned loan grade
sub_grade,LC assigned loan subgrade
job_title,The job title supplied by the Borrower when applying for the loan.*
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
annual_income,The self-reported annual income provided by the borrower during registration.
verification_status,"Indicates if income was verified by LC, not verified, or if the income source was verified"
issue_time,The month which the loan was funded
loan_status,Current status of the loan
purpose,A category provided by the borrower for the loan request. 
title,The loan title provided by the borrower
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.
address_state,The state provided by the borrower in the loan application
dti,The debt-to-income ratio is a measure of the borrower's ability to manage monthly debt payments relative to their monthly income.
earliest_cr_line,The month the borrower's earliest reported credit line was opened
open_account,The number of open credit lines in the borrower's credit file.
pub_records,Number of derogatory public records
revol_bal,Total credit revolving balance
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
total_account,The total number of credit lines currently in the borrower's credit file
initial_list_status,"The initial listing status of the loan. Possible values are – W, F"
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers
mort_account,Number of mortgage accounts.
pub_rec_bankruptcies,Number of public record bankruptcies
